Z =1.1329029
norm_productive =0.2563453829560096
likelihood_train,likelihood_test
-0.8933385,-0.8908251
-0.8933374,-0.8912297
-0.89345497,-0.89108175
-0.89356273,-0.89094824
-0.89369637,-0.8929653
-0.89371043,-0.890032
-0.8937898,-0.892529
-0.8938736,-0.8928972
-0.8939637,-0.8931127
-0.89410174,-0.8884518
-0.8941385,-0.89080065
-0.8942207,-0.891479
-0.8943025,-0.890076
-0.89441943,-0.8920668
-0.8944623,-0.8943941
-0.89455974,-0.8926604
-0.89461255,-0.8924873
-0.8947219,-0.8935357
-0.89484924,-0.8947056
-0.8948517,-0.89341927
-0.8950011,-0.89448655
-0.89504886,-0.8931836
-0.89505285,-0.8938585
-0.8952369,-0.8944806
-0.8952107,-0.8939561
-0.8952642,-0.89421153
-0.89530736,-0.8949821
-0.8954242,-0.89516175
-0.89549977,-0.8954782
-0.8956921,-0.8943233
-0.8956222,-0.89393216
-0.89562404,-0.89487016
-0.89567465,-0.89462256
-0.89568436,-0.8941527
-0.8958542,-0.89303327
-0.8959429,-0.8931715
-0.8959787,-0.89327013
-0.89597493,-0.8958477
-0.89608264,-0.89526975
-0.89605755,-0.89547133
-0.89609176,-0.8931994
-0.8961682,-0.89518446
-0.89622825,-0.8956092
-0.89617705,-0.89583504
-0.89630324,-0.8952034
-0.8963116,-0.8945925
-0.8964315,-0.89416444
-0.8962354,-0.8949455
-0.89626324,-0.89361537
-0.89644444,-0.8933835
-0.8964402,-0.8955015
-0.8964348,-0.89591384
-0.8965232,-0.89509666
-0.8964975,-0.8958116
-0.8966713,-0.8958775
-0.8966915,-0.89599335
-0.8966001,-0.8937624
-0.8967193,-0.8940656
-0.89679307,-0.8950629
-0.8966706,-0.89717555
-0.8966981,-0.8930545
-0.89681107,-0.89576036
-0.8967515,-0.8963364
-0.8968311,-0.89520866
-0.896856,-0.8961643
-0.8969221,-0.8970585
-0.8968406,-0.8962275
-0.8967841,-0.8953549
-0.89689726,-0.89515525
-0.8968599,-0.89355654
-0.8969958,-0.89677626
-0.89691347,-0.896791
-0.8969987,-0.89460325
-0.89695454,-0.8956326
-0.89697134,-0.89391977
-0.8970066,-0.89316505
-0.89705575,-0.89463484
-0.89704806,-0.89395416
-0.8970579,-0.89636725
-0.89704406,-0.8953061
-0.8970913,-0.8960846
-0.8971145,-0.89707875
-0.8970912,-0.8937139
-0.8971716,-0.89701617
-0.8972492,-0.8956024
-0.89717335,-0.89782816
-0.89734125,-0.8957765
-0.89736736,-0.8968972
-0.8972827,-0.89633596
-0.897362,-0.8958302
-0.89736885,-0.89454436
-0.8972677,-0.8933827
-0.89745253,-0.8960913
-0.8972871,-0.8960383
-0.8973943,-0.89733255
-0.89727753,-0.8963549
-0.8975213,-0.89583987
-0.89733356,-0.89743376
-0.8974707,-0.89506584
-0.8975486,-0.8946745
-0.89746517,-0.89412904
-0.8974059,-0.89592725
-0.8974332,-0.8921683
-0.8974989,-0.8960493
-0.89753646,-0.89576715
-0.8976081,-0.8949147
-0.89761406,-0.8946332
-0.89766145,-0.8946812
-0.8975585,-0.89491975
-0.8976063,-0.89769316
-0.89762306,-0.895376
-0.8977072,-0.8963415
-0.89760506,-0.89438844
-0.89766204,-0.89624614
-0.89766526,-0.89807427
-0.8978104,-0.8946056
-0.89770865,-0.8964098
-0.8977554,-0.8948295
-0.8978006,-0.8959852
-0.8977948,-0.8974859
-0.8976963,-0.8948613
-0.89783734,-0.8976359
-0.89786386,-0.89574873
-0.8979274,-0.8947475
-0.897897,-0.89763284
-0.8978898,-0.89676154
-0.89796895,-0.89621675
-0.89795935,-0.8971745
-0.89797324,-0.89747244
-0.8979196,-0.89721644
-0.89800847,-0.8962907
-0.8978755,-0.8978846
-0.8979402,-0.8959091
-0.8979961,-0.8963356
-0.89804375,-0.8951525
-0.8980498,-0.8961784
-0.8980741,-0.896114
-0.8980532,-0.8975198
-0.89817995,-0.89659995
-0.89804786,-0.89655703
-0.8981962,-0.89619744
-0.8981988,-0.8956506
-0.8981282,-0.8972669
-0.8981825,-0.8955059
-0.8982439,-0.89410734
-0.8982599,-0.89690536
-0.89830613,-0.89494157
-0.8982533,-0.89725816
-0.89832866,-0.8952734
-0.89834553,-0.89742196
-0.89837724,-0.8986525
-0.89831734,-0.89652926
-0.8983365,-0.89595693
